# Region      : all 
# Cells       : 7700
# Volume      : 4.962599e-03
# Time        	volIntegrate(alpha.water)
0.720034      	6.055940e-04
0.721186      	6.055940e-04
0.722339      	6.055939e-04
0.723491      	6.055939e-04
0.724696      	6.055938e-04
0.725901      	6.055938e-04
0.727106      	6.055937e-04
0.728311      	6.055937e-04
0.729516      	6.055937e-04
0.730721      	6.055936e-04
0.732006      	6.055936e-04
0.733291      	6.055936e-04
0.734577      	6.055935e-04
0.735862      	6.055935e-04
0.737147      	6.055935e-04
0.738433      	6.055935e-04
0.739718      	6.055935e-04
0.741003      	6.055935e-04
0.742288      	6.055935e-04
0.743574      	6.055935e-04
0.744859      	6.055935e-04
0.746144      	6.055935e-04
0.747429      	6.055935e-04
0.748715      	6.055935e-04
0.75          	6.055935e-04
0.751351      	6.055935e-04
0.752632      	6.055935e-04
0.753846      	6.055935e-04
0.75503       	6.055935e-04
0.756154      	6.055935e-04
0.75725       	6.055935e-04
0.758293      	6.055935e-04
0.759286      	6.055934e-04
0.760233      	6.055934e-04
0.761157      	6.055934e-04
0.76204       	6.055934e-04
0.762903      	6.055934e-04
0.763727      	6.055934e-04
0.764516      	6.055933e-04
0.765287      	6.055933e-04
0.76601       	6.055933e-04
0.76669       	6.055933e-04
0.767343      	6.055933e-04
0.767948      	6.055933e-04
0.76852       	6.055933e-04
0.769063      	6.055933e-04
0.769579      	6.055933e-04
0.770077      	6.055933e-04
0.770568      	6.055933e-04
0.771035      	6.055933e-04
0.771488      	6.055933e-04
0.771933      	6.055932e-04
0.772379      	6.055932e-04
0.772847      	6.055932e-04
0.773341      	6.055932e-04
0.773874      	6.055932e-04
0.774468      	6.055932e-04
0.775035      	6.055932e-04
0.775566      	6.055932e-04
0.776075      	6.055932e-04
0.776563      	6.055932e-04
0.777052      	6.055932e-04
0.777562      	6.055932e-04
0.778096      	6.055932e-04
0.77863       	6.055932e-04
0.779151      	6.055932e-04
0.779686      	6.055932e-04
0.780235      	6.055932e-04
